Index,Country,Scope,Jurisdiction,Type of Law,Product Type,Application,Ordinance,Hyperlink to Ordinance
28,Barbados,National,Barbados,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
29,Belgium,State,Brussels,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
30,Belgium,State,Wallonia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
31,Belize,National,Belize,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
32,Benin,National,Benin,Ban,Bag,"Retail, Manufacture, Distribution, Import, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
33,Bhutan,National,Bhutan,Other,Bag,Import,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
34,Bolivia,Local,Bolivia,Other,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
35,Bosnia & Herzegovina,State,Bosnia & Herzegovina,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
36,Botswana,National,Botswana,Ban+Fee,Bag,"Retail, Manufacture, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
37,Brazil,Local,Espírito Santo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
38,Brazil,Local,Goiás,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
39,Brazil,Local,Rio de Janeiro,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
40,Brazil,Local,Sao Paulo,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
41,British Virgin Islands,National,British Virgin Islands,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
42,Bulgaria,National,Bulgaria,Other,Bag,"Retail, Producer Tax",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
43,Burkina Faso,National,Burkina Faso,Ban,Bag,"Manufacture, Distribution, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
44,Burundi,National,Burundi,Ban,Bag,"Retail, Manufacture, Distribution, Import, Use",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
45,Cambodia,National,Cambodia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
46,Cameroon,National,Cameroon,Ban,Bag,"Manufacture, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
47,Canada,Local,Amqui,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
48,Canada,Local,Brossard,Ban,Bag,Retail,link,http://www.ville.brossard.qc.ca/Brossard/media/Documentation/Environnement/REG-351_Sacs-d-emplettes_pour-section-ENG.pdf
49,Canada,Local,Coldwell,Ban,Bag,Unknown,link,http://www.lundar.ca/docs/BL072008PLASTICSHOPPINGBAGS.pdf
50,Canada,Local,Deux Montagnes,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
51,Canada,Local,Eriksdale,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
52,Canada,Local,Fogo Island,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
53,Canada,Local,Hopedale,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
54,Canada,Local,Huntingdon,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
55,Canada,Local,Leaf Rapids,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
56,Canada,Local,Montreal,Ban,Bag,Unknown,link,http://ville.montreal.qc.ca/sel/sypre-consultation/afficherpdf?idDoc=27530&typeDoc=1
57,Canada,Local,Nain,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
58,Canada,Local,Prince Edward Island,Ban,Bag,Retail,link,https://www.princeedwardisland.ca/en/information/communities-land-and-environment/plastic-bag-reduction
59,Canada,Local,Qualicum Beach,Ban,Bag,Unknown,link,https://qualicumbeach.civicweb.net/document/7678
60,Canada,Local,Thompson,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
61,Canada,Local,Tolfino,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
62,Canada,Local,Vancouver,Ban,Straw,Restaurant,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
63,Canada,Local,Victoria,Ban+Fee,Bag,Unknown,link,https://www.victoria.ca/EN/main/residents/climate-change/single-use-plastic-bags.html
64,Canada,Local,Wood Buffalo,Ban,Bag,Unknown,link,https://www.rmwb.ca/Assets/Departments/Legislative+and+Legal+Services/Bylaws/ShoppingBag.pdf
65,Canada,National,Canada,Ban,Microbead,"Retail, Manufacture, Import",link,https://laws-lois.justice.gc.ca/PDF/SOR-2017-111.pdf
66,Canada,Province,Montreal,Ban,Microbead,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
67,Canada,Province,Quebec,Ban,Microbead,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
68,Canada,Regional,Montreal,ban,EPS,Retail,,
69,Canada,State,Manitoba Province,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
70,Canada,State,Northwest Territories,Fee,Bag,Unknown,link,https://www.justice.gov.nt.ca/en/files/legislation/waste-reduction-recovery/waste-reduction-recovery.r2.pdf
71,Canada,State,Ontario,Ban,Microbead,Manufacture,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
72,Canada,State,Ontario,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
73,Cape Verde,National,Cape Verde,Ban,Bag,"Manufacture, Distribution, Import, Use",link,http://extwprlegs1.fao.org/docs/pdf/ang148026.pdf
74,Cayman Islands,Local,Cayman Islands (Guernsey and Jersey),Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
75,Chad,National,Chad,Ban,Bag,Import,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
76,Chad,State,"N’djamena, Chad",Ban,Bag,Import,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
77,Chile,Local,Chile,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
78,Chile,Local,Chile Chico,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
79,Chile,Local,Pucón,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
80,Chile,Local,Punta Arenas,Ban,Bag,Unknown,link,http://www.puntaarenas.cl/no_bolsas/20140123165244476.pdf
81,China,National,China,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
82,China,National,Hong Kong,Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
83,Colombia,National,Colombia,Ban+Fee,Bag,Retail,link,http://es.presidencia.gov.co/normativa/normativa/DECRETO%202198%20DEL%2026%20DE%20DICIEMBRE%20DE%202017.pdf
84,Congo,National,Congo,Ban+Fee,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
85,Cote d'Ivoire,National,Cote d'Ivoire,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
86,Croatia,National,Croatia,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
87,Cyprus,National,Cyprus,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
88,Czech Republic,National,Czech Republic,Ban,Bag,Retail,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
89,Denmark,National,Denmark,Fee,Bag,Retail,link,https://www.retsinformation.dk/eli/lta/2016/1236
90,Djibouti,National,Djibouti,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
91,Ecuador,Local,Galapagos Island,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
92,Egypt,National,Hurghada,Ban,Bag,"Retail, Restaurant",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
93,Eritrea,National,Eritrea,Ban,Bag,"Retail, Manufacture, Distribution, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
94,Estonia,National,Estonia,Fee,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
95,Ethiopia,National,Ethiopia,Ban,Bag,"Manufacture, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
96,European Union,Regional,European Union,Comprehensive,Multiple,,-,ttps://data.consilium.europa.eu/doc/document/ST-5483-2019-INIT/en/pdf
97,European Union,Regional,European Union,Other,Bag,,,https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:32015L0720&from=EN
98,Fiji,National,Fiji,Fee,Bag,Unknown,link,http://www.fiji.gov.fj/getattachment/a3ca75a2-d18f-4f4d-b6fc-2b427ae2437a/Act-36---Environmental-Levy-(budget-amendment)-Act.aspx
99,Finland,National,Finland,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
100,France,National,France,Ban,Bag,Unknown,link,https://www.legifrance.gouv.fr/affichTexte.do?cidTexte=JORFTEXT000032319878&categorieLien=id
101,France,National,France,Ban,Microbead,Retail,link,https://www.legifrance.gouv.fr/affichTexteArticle.do;jsessionid=59366E7D7FEEA78AEF2D7A52AE0C38BD.tplgfr38s_1?idArticle=JORFARTI000033016344&cidTexte=JORFTEXT000033016237&dateTexte=29990101&categorieLien=id
102,France,National,France,Ban,Straw,Restaurant,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
103,France,National,Mayotte,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
104,France,National,Saint Pierre and Miquelon,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
105,Gabon,National,Gabon,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
106,Gambia,National,Gambia,Ban,Bag,"Retail, Import, Use",link,http://www.moeccww.gov.gm/sites/default/files/1%20BAN%20ON%20PLASTIC%20BAGS%20ORDER%20%20%20Final.pdf
107,Georgia,National,Georgia,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
108,Germany,National,Germany,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
109,Gibraltar,National,Gibraltar,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
110,Greece,National,Greece,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
111,Grenada,National,Grenada,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
112,Guatemala,Local,San Pedro La Lagun,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
113,Guernsey,National,Guernsey,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
114,Guinea-Bissau,National,Guinea-Bissau,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
115,Haiti,National,Haiti,Ban,Bag,"Retail, Manufacture, Distribution, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
116,Honduras,Local,Guanaja,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
117,Honduras,Local,Roatan,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
118,Honduras,Local,Utila,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
119,Hungary,National,Hungary,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
120,Iceland,National,Iceland,Ban,Bag,"Manufacture, Import",-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
121,India,Local,Chandigarh,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
122,India,Local,Dharamsala,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
123,India,Local,Kanyakumari,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
124,India,Local,Mumbai,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
125,India,Local,Thrissur,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
126,India,National,India,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
127,India,State,Delhi,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
128,India,State,Goa,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
129,India,State,Himachal Pradesh,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
130,India,State,Karnataka,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
131,India,State,Maharashtra,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
132,India,State,Sikkim,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
133,India,State,Tamil Nadu,Ban,Bag,Unknown,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
134,Indonesia,Local,Badung,Fee,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
135,Indonesia,Local,Balikpapan,Fee,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
136,Indonesia,Local,Banjarmasin,Ban,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
137,Indonesia,Local,Bogar,Ban,Bag,Retailer,-,https://docs.google.com/forms/d/e/1FAIpQLScYxyzvvx3BK6nG6S3H54wtcFfq9MhitbQ9uxEOljrK4Qak9g/viewform
